iter	Passed	Remaining
0	40	40673
1	78	39309
2	116	38570
3	154	38461
4	191	38052
5	229	37977
6	267	37909
7	304	37817
8	345	38039
9	384	38037
10	420	37822
11	457	37691
12	493	37452
13	529	37315
14	565	37103
15	601	36966
16	635	36763
17	671	36640
18	705	36425
19	740	36302
20	775	36155
21	812	36137
22	848	36053
23	881	35862
24	916	35741
25	951	35628
26	985	35524
27	1022	35488
28	1052	35249
29	1086	35116
30	1118	34977
31	1154	34916
32	1187	34784
33	1222	34740
34	1253	34558
35	1288	34507
36	1318	34317
37	1355	34314
38	1387	34198
39	1418	34045
40	1452	33970
41	1482	33813
42	1517	33767
43	1546	33593
44	1578	33497
45	1616	33517
46	1652	33514
47	1684	33405
48	1713	33256
49	1743	33125
50	1773	33001
51	1803	32878
52	1843	32945
53	1876	32874
54	1905	32742
55	1935	32618
56	1967	32556
57	1997	32450
58	2036	32480
59	2070	32445
60	2106	32432
61	2142	32417
62	2171	32290
63	2203	32220
64	2240	32224
65	2281	32283
66	2317	32269
67	2346	32160
68	2381	32139
69	2415	32085
70	2447	32024
71	2485	32040
72	2515	31949
73	2552	31939
74	2588	31919
75	2619	31848
76	2656	31842
77	2686	31758
78	2720	31711
79	2751	31646
80	2787	31627
81	2819	31565
82	2853	31525
83	2884	31456
84	2920	31443
85	2950	31355
86	2986	31341
87	3022	31321
88	3063	31353
89	3094	31292
90	3132	31286
91	3169	31278
92	3210	31311
93	3252	31349
94	3283	31281
95	3314	31214
96	3343	31125
97	3373	31051
98	3409	31025
99	3439	30953
100	3467	30864
101	3506	30872
102	3538	30815
103	3573	30785
104	3613	30797
105	3646	30754
106	3673	30661
107	3708	30631
108	3737	30548
109	3773	30534
110	3816	30567
111	3850	30531
112	3885	30499
113	3920	30470
114	3947	30379
115	3980	30335
116	4018	30323
117	4055	30316
118	4088	30268
119	4120	30213
120	4153	30175
121	4186	30130
122	4223	30117
123	4254	30052
124	4283	29985
125	4312	29915
126	4342	29848
127	4374	29799
128	4405	29742
129	4442	29731
130	4483	29743
131	4520	29724
132	4562	29743
133	4603	29747
134	4635	29699
135	4671	29679
136	4715	29705
137	4752	29688
138	4787	29657
139	4820	29613
140	4853	29567
141	4880	29487
142	4913	29446
143	4945	29400
144	4983	29386
145	5013	29325
146	5038	29238
147	5070	29188
148	5104	29156
149	5142	29139
150	5175	29100
151	5212	29082
152	5242	29021
153	5280	29010
154	5315	28980
155	5340	28891
156	5370	28838
157	5410	28832
158	5442	28787
159	5475	28744
160	5509	28709
161	5544	28680
162	5572	28614
163	5600	28551
164	5640	28542
165	5680	28538
166	5717	28518
167	5750	28477
168	5792	28484
169	5832	28475
170	5868	28450
171	5902	28414
172	5939	28390
173	5969	28338
174	6004	28305
175	6040	28281
176	6074	28245
177	6107	28206
178	6141	28167
179	6181	28160
180	6221	28153
181	6254	28112
182	6297	28113
183	6333	28085
184	6369	28058
185	6402	28020
186	6431	27961
187	6471	27953
188	6509	27930
189	6541	27888
190	6576	27855
191	6609	27814
192	6644	27783
193	6683	27766
194	6719	27740
195	6752	27698
196	6782	27644
197	6815	27608
198	6848	27564
199	6881	27526
200	6923	27519
201	6952	27466
202	6989	27440
203	7026	27416
204	7058	27373
205	7092	27337
206	7124	27295
207	7161	27270
208	7188	27208
209	7223	27175
210	7251	27117
211	7289	27096
212	7323	27058
213	7352	27004
214	7387	26972
215	7422	26940
216	7451	26888
217	7483	26844
218	7516	26806
219	7552	26777
220	7593	26766
221	7624	26720
222	7652	26664
223	7689	26638
224	7725	26611
225	7766	26597
226	7800	26562
227	7838	26540
228	7872	26503
229	7902	26456
230	7939	26431
231	7977	26406
232	8012	26374
233	8042	26325
234	8076	26290
235	8112	26262
236	8145	26222
237	8178	26185
238	8208	26136
239	8240	26094
240	8278	26072
241	8310	26029
242	8345	25996
243	8378	25960
244	8414	25930
245	8443	25879
246	8470	25822
247	8505	25790
248	8539	25755
249	8573	25721
250	8611	25697
251	8644	25657
252	8674	25612
253	8714	25595
254	8741	25538
255	8769	25484
256	8805	25457
257	8838	25419
258	8874	25390
259	8913	25370
260	8949	25340
261	8988	25317
262	9021	25281
263	9049	25228
264	9085	25198
265	9119	25162
266	9156	25137
267	9188	25098
268	9220	25057
269	9256	25028
270	9295	25006
271	9324	24957
272	9356	24917
273	9394	24892
274	9427	24853
275	9454	24800
276	9487	24764
277	9520	24725
278	9555	24694
279	9595	24673
280	9621	24619
281	9660	24596
282	9692	24557
283	9721	24509
284	9751	24463
285	9776	24406
286	9808	24368
287	9843	24336
288	9872	24287
289	9916	24277
290	9948	24239
291	9983	24207
292	10016	24169
293	10049	24133
294	10081	24093
295	10115	24059
296	10151	24027
297	10190	24005
298	10226	23975
299	10259	23939
300	10294	23906
301	10325	23864
302	10355	23820
303	10384	23774
304	10415	23734
305	10447	23694
306	10478	23653
307	10510	23613
308	10540	23571
309	10573	23534
310	10617	23522
311	10659	23505
312	10706	23498
313	10740	23464
314	10768	23417
315	10799	23375
316	10826	23326
317	10857	23284
318	10890	23249
319	10926	23219
320	10949	23161
321	10984	23129
322	11017	23092
323	11050	23056
324	11082	23016
325	11115	22981
326	11146	22939
327	11183	22912
328	11208	22860
329	11243	22827
330	11283	22805
331	11313	22763
332	11345	22725
333	11384	22700
334	11419	22667
335	11453	22633
336	11491	22607
337	11515	22553
338	11546	22513
339	11580	22478
340	11608	22433
341	11638	22393
342	11672	22358
343	11707	22326
344	11743	22295
345	11783	22272
346	11819	22243
347	11853	22207
348	11885	22169
349	11919	22136
350	11949	22095
351	11986	22066
352	12020	22031
353	12060	22008
354	12098	21982
355	12130	21944
356	12155	21893
357	12188	21858
358	12215	21810
359	12249	21777
360	12281	21740
361	12314	21703
362	12340	21655
363	12371	21616
364	12405	21581
365	12434	21538
366	12475	21517
367	12516	21495
368	12544	21450
369	12581	21422
370	12614	21386
371	12647	21350
372	12680	21316
373	12715	21282
374	12744	21240
375	12774	21199
376	12812	21172
377	12845	21137
378	12878	21101
379	12907	21059
380	12931	21010
381	12963	20972
382	12999	20941
383	13025	20895
384	13060	20862
385	13095	20831
386	13119	20781
387	13149	20740
388	13182	20705
389	13213	20667
390	13252	20641
391	13284	20604
392	13319	20571
393	13348	20530
394	13383	20498
395	13411	20456
396	13436	20409
397	13474	20380
398	13510	20349
399	13542	20313
400	13577	20282
401	13606	20241
402	13642	20209
403	13680	20182
404	13714	20148
405	13751	20119
406	13790	20093
407	13825	20060
408	13851	20014
409	13876	19968
410	13907	19930
411	13940	19895
412	13982	19873
413	14015	19838
414	14046	19800
415	14079	19765
416	14110	19727
417	14138	19684
418	14172	19651
419	14199	19609
420	14235	19577
421	14273	19549
422	14306	19514
423	14334	19473
424	14370	19443
425	14407	19412
426	14435	19371
427	14474	19344
428	14507	19310
429	14545	19280
430	14576	19243
431	14605	19204
432	14638	19169
433	14673	19136
434	14712	19109
435	14740	19068
436	14781	19042
437	14815	19009
438	14838	18961
439	14866	18920
440	14899	18886
441	14939	18859
442	14976	18830
443	15011	18797
444	15044	18763
445	15081	18733
446	15108	18690
447	15140	18655
448	15177	18624
449	15210	18590
450	15249	18563
451	15286	18532
452	15315	18493
453	15350	18461
454	15392	18437
455	15419	18395
456	15457	18366
457	15490	18331
458	15520	18293
459	15554	18259
460	15590	18227
461	15619	18188
462	15655	18158
463	15689	18123
464	15716	18082
465	15747	18045
466	15778	18008
467	15818	17981
468	15851	17946
469	15883	17911
470	15910	17869
471	15937	17828
472	15975	17799
473	16011	17767
474	16045	17734
475	16084	17706
476	16115	17669
477	16150	17636
478	16187	17607
479	16219	17570
480	16254	17539
481	16289	17506
482	16316	17464
483	16345	17426
484	16381	17394
485	16414	17360
486	16450	17328
487	16480	17291
488	16511	17253
489	16540	17215
490	16580	17187
491	16614	17155
492	16647	17120
493	16676	17081
494	16709	17046
495	16733	17003
496	16767	16969
497	16796	16931
498	16829	16897
499	16865	16865
500	16900	16832
501	16941	16806
502	16976	16773
503	17011	16741
504	17047	16710
505	17079	16674
506	17115	16642
507	17149	16609
508	17187	16579
509	17214	16539
510	17249	16506
511	17286	16476
512	17314	16437
513	17347	16402
514	17379	16367
515	17416	16336
516	17445	16298
517	17485	16270
518	17512	16230
519	17541	16191
520	17574	16157
521	17601	16117
522	17633	16082
523	17669	16051
524	17703	16017
525	17734	15981
526	17768	15947
527	17800	15912
528	17835	15880
529	17870	15847
530	17898	15808
531	17935	15778
532	17966	15741
533	17994	15702
534	18017	15659
535	18049	15625
536	18084	15592
537	18115	15556
538	18144	15518
539	18185	15491
540	18214	15453
541	18236	15410
542	18270	15376
543	18302	15342
544	18329	15302
545	18367	15272
546	18403	15241
547	18438	15208
548	18482	15183
549	18514	15148
550	18546	15113
551	18580	15080
552	18618	15049
553	18650	15015
554	18681	14978
555	18713	14943
556	18742	14906
557	18768	14866
558	18803	14834
559	18836	14799
560	18864	14761
561	18899	14729
562	18930	14693
563	18962	14659
564	19001	14629
565	19027	14589
566	19061	14557
567	19094	14522
568	19130	14490
569	19159	14453
570	19196	14422
571	19227	14387
572	19260	14352
573	19294	14319
574	19332	14288
575	19362	14253
576	19402	14224
577	19438	14192
578	19468	14155
579	19502	14122
580	19532	14086
581	19560	14048
582	19590	14012
583	19629	13982
584	19660	13947
585	19700	13918
586	19732	13883
587	19764	13848
588	19800	13816
589	19838	13785
590	19874	13753
591	19905	13718
592	19938	13684
593	19966	13647
594	20001	13614
595	20035	13581
596	20076	13552
597	20114	13522
598	20151	13490
599	20193	13462
600	20224	13427
601	20259	13394
602	20300	13365
603	20337	13333
604	20373	13301
605	20402	13265
606	20434	13230
607	20468	13196
608	20500	13162
609	20530	13126
610	20561	13090
611	20595	13057
612	20627	13022
613	20659	12987
614	20690	12952
615	20723	12918
616	20757	12884
617	20790	12851
618	20822	12816
619	20857	12783
620	20892	12750
621	20932	12720
622	20964	12686
623	20999	12653
624	21029	12617
625	21054	12578
626	21085	12543
627	21114	12507
628	21151	12475
629	21181	12440
630	21217	12407
631	21254	12375
632	21281	12338
633	21316	12305
634	21344	12268
635	21372	12232
636	21406	12198
637	21436	12163
638	21470	12129
639	21501	12094
640	21540	12064
641	21573	12030
642	21610	11998
643	21644	11965
644	21672	11928
645	21702	11892
646	21736	11859
647	21772	11826
648	21809	11795
649	21838	11759
650	21867	11723
651	21901	11689
652	21933	11655
653	21962	11619
654	21996	11585
655	22031	11553
656	22060	11517
657	22093	11483
658	22125	11448
659	22160	11415
660	22196	11383
661	22221	11345
662	22253	11311
663	22288	11278
664	22315	11241
665	22341	11204
666	22372	11169
667	22408	11136
668	22446	11106
669	22483	11073
670	22515	11039
671	22549	11006
672	22583	10973
673	22621	10941
674	22655	10908
675	22688	10874
676	22719	10839
677	22747	10803
678	22777	10768
679	22810	10734
680	22840	10699
681	22877	10667
682	22912	10634
683	22952	10603
684	22979	10567
685	23012	10533
686	23050	10501
687	23084	10468
688	23114	10433
689	23148	10399
690	23180	10365
691	23216	10333
692	23250	10299
693	23281	10265
694	23316	10232
695	23354	10200
696	23389	10167
697	23428	10136
698	23457	10101
699	23491	10067
700	23519	10031
701	23549	9996
702	23581	9962
703	23618	9930
704	23648	9895
705	23684	9862
706	23721	9830
707	23752	9796
708	23782	9761
709	23816	9728
710	23843	9691
711	23875	9657
712	23903	9621
713	23937	9588
714	23968	9553
715	24002	9520
716	24031	9485
717	24057	9448
718	24090	9415
719	24115	9378
720	24147	9344
721	24177	9309
722	24210	9275
723	24243	9242
724	24272	9206
725	24314	9176
726	24343	9141
727	24374	9106
728	24399	9070
729	24436	9038
730	24465	9002
731	24505	8972
732	24542	8939
733	24576	8906
734	24611	8873
735	24645	8840
736	24679	8806
737	24716	8774
738	24752	8741
739	24782	8707
740	24819	8675
741	24854	8642
742	24889	8609
743	24927	8577
744	24965	8545
745	24995	8510
746	25035	8479
747	25059	8442
748	25095	8409
749	25128	8376
750	25160	8342
751	25198	8310
752	25233	8277
753	25265	8243
754	25301	8210
755	25338	8178
756	25370	8144
757	25396	8107
758	25429	8074
759	25462	8040
760	25496	8007
761	25526	7972
762	25562	7940
763	25600	7908
764	25635	7875
765	25670	7841
766	25703	7808
767	25733	7773
768	25759	7737
769	25790	7703
770	25832	7672
771	25862	7638
772	25896	7604
773	25934	7572
774	25968	7539
775	25999	7505
776	26032	7471
